"('A0A022LGW9',)",0.07998364418745041,-1.6609939734735235e-07,0,296,103
"('A0A023DFE8',)",1.4811712503433228,-1.9124807693060575e-07,0,282,41
"('A0A023W421',)",2.1433327198028564,-1.5787502150033106e-07,0,147,10
"('A0A024CDT8',)",2.054983139038086,-1.969835068393877e-07,0,265,74
"('A0A024FRL9',)",1.4880481958389282,-1.966022011856694e-07,0,270,127
"('A0A037YIF5',)",11.498366355895996,1.6118279745569453e-05,0,262,5
"('A0A060TAG5',)",10.199655532836914,-7.72796155956712e-08,0,231,1
"('A0A061D1S0',)",0.22248685359954834,-1.8961964087793604e-07,0,201,20
"('A0A067XR63',)",0.07598237693309784,-5.3835293556403485e-08,0,268,34
"('A0A067XRK9',)",11.45242691040039,-3.3948731470445637e-07,0,299,34
"('A0A067XSJ2',)",2.7195143699645996,-1.6933520896600385e-07,0,287,34
"('A0A067ZIC8',)",0.9722610712051392,-1.8121217237876408e-07,0,293,12
"('A0A068FNL1',)",7.8348565101623535,-2.0811248191421328e-07,0,281,47
"('A0A068JE73',)",9.776033401489258,2.7518202827536697e-08,0,137,17
"('A0A068JF10',)",1.630888819694519,-1.6199997787680331e-07,0,130,17
"('A0A069Q255',)",0.27244624495506287,-1.895765251447301e-07,0,180,7
"('A0A072ZI21',)",0.4689796268939972,-1.8638694143646717e-07,0,242,62
"('A0A075B5G4',)",0.9140801429748535,-1.6559779680846987e-07,0,194,30
"('A0A075C530',)",16.687335968017578,-2.77549276006539e-07,0,246,11
"('A0A076JZU4',)",0.7483206987380981,-1.875637991588519e-07,0,168,4
"('A0A076K0M9',)",2.742105722427368,-1.5785417417646386e-07,0,186,4
"('A0A076N4W8',)",0.38901832699775696,-1.8937645052119478e-07,0,227,3
"('A0A076NBW8',)",22.791790008544922,7.840925536584109e-05,15,227,3
"('A0A077AY47',)",6.116974830627441,-3.000731112479116e-07,0,189,21
"('A0A080VH08',)",15.903524398803711,-3.332850155857159e-07,0,232,3
"('A0A087INM7',)",4.988560676574707,-1.6927049273363082e-07,0,267,3
"('A0A088BHP3',)",4.9851531982421875,-1.7317717038167757e-07,0,267,25
"('A0A088MAR6',)",0.3167582154273987,-1.89286822660506e-07,0,288,5
"('A0A088UE24',)",2.8318634033203125,-1.6032829819323524e-07,0,291,103
